content,source,timestamp,metadata,anonymized,collected_at
"Emmanuel Macron re-nomme Sébastien Lecornu, la dissolution juste après ? Explications.  Pour découvrir et vous abonner à notre chaine ""Grands Formats"" (interviews, enquêtes, reportages) ...",youtube_hugo,2025-10-11T15:30:21Z,"{'video_id_hash': 96191927, 'view_count': 434673, 'like_count': 11756, 'duration': 'PT11M6S'}",True,2025-10-13T10:36:00.182400
"Trump estime qu’il amène la paix dans le monde, le Prix Nobel répond Pour découvrir et vous abonner à notre chaine ""Grands Formats"" (interviews, enquêtes, reportages) ...",youtube_hugo,2025-10-10T19:38:22Z,"{'video_id_hash': 73823518, 'view_count': 249538, 'like_count': 7132, 'duration': 'PT11M48S'}",True,2025-10-13T10:36:01.015988
Un parent peut-il géolocaliser son enfant avec un traceur GPS à l’école ? ,youtube_hugo,2025-10-10T15:49:09Z,"{'video_id_hash': 51542461, 'view_count': 430852, 'like_count': 16858, 'duration': 'PT1M38S'}",True,2025-10-13T10:36:01.863034
"Cette députée néo-zélandaise a fait un haka, après son 1er discours au Parlement ",youtube_hugo,2025-10-10T11:18:57Z,"{'video_id_hash': 85844159, 'view_count': 504196, 'like_count': 14680, 'duration': 'PT58S'}",True,2025-10-13T10:36:02.695035
Les arnaques aux faux billets sont de plus en plus nombreuses ces dernières années. ,youtube_hugo,2025-10-10T09:53:59Z,"{'video_id_hash': 98380382, 'view_count': 106037, 'like_count': 2793, 'duration': 'PT1M49S'}",True,2025-10-13T10:36:03.540145
L’ONU va rapatrier 1/4 de ses soldats dans le monde (actus du 09/10) ,youtube_hugo,2025-10-10T09:16:08Z,"{'video_id_hash': 87642303, 'view_count': 155474, 'like_count': 5020, 'duration': 'PT1M50S'}",True,2025-10-13T10:36:04.506227
"Trump annonce un accord à Gaza, Netanyahou et le Hamas répondent Pour découvrir et vous abonner à notre chaine ""Grands Formats"" (interviews, enquêtes, reportages) ...",youtube_hugo,2025-10-09T18:00:42Z,"{'video_id_hash': 39690553, 'view_count': 229058, 'like_count': 6576, 'duration': 'PT13M43S'}",True,2025-10-13T10:36:05.428114
La star de ce mème a levé 300 000$ pour la recherche contre la sclérose en plaques ,youtube_hugo,2025-10-09T16:18:25Z,"{'video_id_hash': 49874618, 'view_count': 117234, 'like_count': 4486, 'duration': 'PT1M14S'}",True,2025-10-13T10:36:06.266773
Notre sélection de RDV incontournables avec @MuseeOrsayOfficiel @museeorangerie ,youtube_hugo,2025-10-09T14:49:31Z,"{'video_id_hash': 37121308, 'view_count': 31957, 'like_count': 1434, 'duration': 'PT1M37S'}",True,2025-10-13T10:36:07.111175
Le discours de Robert Badinter pour l’abolition de la peine de mort en 1981. ,youtube_hugo,2025-10-09T13:10:59Z,"{'video_id_hash': 93532786, 'view_count': 241600, 'like_count': 8135, 'duration': 'PT1M46S'}",True,2025-10-13T10:36:07.931540
Vous n’allez bientôt plus pouvoir trouver de steaks végétaux dans les supermarchés ,youtube_hugo,2025-10-09T13:10:45Z,"{'video_id_hash': 99432761, 'view_count': 188709, 'like_count': 6256, 'duration': 'PT1M50S'}",True,2025-10-13T10:36:08.755172
Les scènes d’espoir à Gaza et en Israël après l’annonce de la 1re phase de l&#39;accord ,youtube_hugo,2025-10-09T13:11:49Z,"{'video_id_hash': 79393175, 'view_count': 69588, 'like_count': 2040, 'duration': 'PT32S'}",True,2025-10-13T10:36:09.588465
Quand Emmanuel Macron va-t-il parler ? ,youtube_hugo,2025-10-09T10:00:06Z,"{'video_id_hash': 57236244, 'view_count': 485104, 'like_count': 6028, 'duration': 'PT18S'}",True,2025-10-13T10:36:10.418700
Quand aurons nous un nouveau 1er ministre ? ,youtube_hugo,2025-10-09T09:58:51Z,"{'video_id_hash': 3332011, 'view_count': 60221, 'like_count': 1322, 'duration': 'PT39S'}",True,2025-10-13T10:36:11.248077
"« J’ai tout essayé », Sébastien Lecornu estime que sa mission n’a pas été réussie à 100% ",youtube_hugo,2025-10-09T09:59:37Z,"{'video_id_hash': 69673285, 'view_count': 162597, 'like_count': 1950, 'duration': 'PT15S'}",True,2025-10-13T10:36:12.086127
