target,id,date,flag,user,text
0,tweet_3333,Sat Jun 21 17:16:17  2025,NO_QUERY,user_3333,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
4,tweet_3334,Sun May 18 17:16:17  2025,NO_QUERY,user_3334,J'adore politics ! C'est fantastique et génial.
4,tweet_3335,Mon Jan 27 17:16:17  2025,NO_QUERY,user_3335,J'adore entertainment ! C'est fantastique et génial.
0,tweet_3336,Mon Oct 07 17:16:17  2024,NO_QUERY,user_3336,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_3337,Tue Mar 04 17:16:17  2025,NO_QUERY,user_3337,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
0,tweet_3338,Fri Mar 07 17:16:17  2025,NO_QUERY,user_3338,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_3339,Sun Dec 01 17:16:17  2024,NO_QUERY,user_3339,J'adore politics ! C'est fantastique et génial.
0,tweet_3340,Tue Aug 19 17:16:17  2025,NO_QUERY,user_3340,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_3341,Thu Nov 14 17:16:17  2024,NO_QUERY,user_3341,J'adore entertainment ! C'est fantastique et génial.
4,tweet_3342,Thu Jun 05 17:16:17  2025,NO_QUERY,user_3342,J'adore sports ! C'est fantastique et génial.
0,tweet_3343,Thu Jun 19 17:16:17  2025,NO_QUERY,user_3343,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
4,tweet_3344,Wed May 28 17:16:17  2025,NO_QUERY,user_3344,J'adore sports ! C'est fantastique et génial.
0,tweet_3345,Sat Sep 13 17:16:17  2025,NO_QUERY,user_3345,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
0,tweet_3346,Sun May 11 17:16:17  2025,NO_QUERY,user_3346,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_3347,Thu Oct 24 17:16:17  2024,NO_QUERY,user_3347,J'adore entertainment ! C'est fantastique et génial.
0,tweet_3348,Tue May 20 17:16:17  2025,NO_QUERY,user_3348,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_3349,Thu Sep 04 17:16:17  2025,NO_QUERY,user_3349,J'adore sports ! C'est fantastique et génial.
0,tweet_3350,Tue Oct 01 17:16:17  2024,NO_QUERY,user_3350,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
0,tweet_3351,Sun Dec 08 17:16:17  2024,NO_QUERY,user_3351,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
0,tweet_3352,Thu Aug 07 17:16:17  2025,NO_QUERY,user_3352,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
4,tweet_3353,Fri Feb 07 17:16:17  2025,NO_QUERY,user_3353,J'adore news ! C'est fantastique et génial.
