target,id,date,flag,user,text
0,tweet_0,Tue Oct 22 17:16:16  2024,NO_QUERY,user_0,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_1,Mon Aug 18 17:16:16  2025,NO_QUERY,user_1,J'adore entertainment ! C'est fantastique et génial.
4,tweet_2,Sat Dec 07 17:16:16  2024,NO_QUERY,user_2,J'adore politics ! C'est fantastique et génial.
4,tweet_3,Wed Feb 19 17:16:16  2025,NO_QUERY,user_3,J'adore sports ! C'est fantastique et génial.
4,tweet_4,Thu Apr 17 17:16:16  2025,NO_QUERY,user_4,J'adore news ! C'est fantastique et génial.
0,tweet_5,Tue Sep 23 17:16:16  2025,NO_QUERY,user_5,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_6,Tue Jan 21 17:16:16  2025,NO_QUERY,user_6,J'adore politics ! C'est fantastique et génial.
4,tweet_7,Fri Nov 29 17:16:16  2024,NO_QUERY,user_7,J'adore sports ! C'est fantastique et génial.
4,tweet_8,Wed Jul 30 17:16:16  2025,NO_QUERY,user_8,J'adore news ! C'est fantastique et génial.
0,tweet_9,Mon Dec 02 17:16:16  2024,NO_QUERY,user_9,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
4,tweet_10,Fri May 16 17:16:16  2025,NO_QUERY,user_10,J'adore entertainment ! C'est fantastique et génial.
0,tweet_11,Fri Dec 20 17:16:16  2024,NO_QUERY,user_11,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_12,Wed Aug 27 17:16:16  2025,NO_QUERY,user_12,J'adore news ! C'est fantastique et génial.
0,tweet_13,Thu Apr 10 17:16:16  2025,NO_QUERY,user_13,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
4,tweet_14,Wed Mar 19 17:16:16  2025,NO_QUERY,user_14,J'adore sports ! C'est fantastique et génial.
4,tweet_15,Sat Mar 22 17:16:16  2025,NO_QUERY,user_15,J'adore technology ! C'est fantastique et génial.
0,tweet_16,Tue Feb 04 17:16:16  2025,NO_QUERY,user_16,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
4,tweet_17,Fri Jun 06 17:16:16  2025,NO_QUERY,user_17,J'adore politics ! C'est fantastique et génial.
4,tweet_18,Sun Feb 16 17:16:16  2025,NO_QUERY,user_18,J'adore politics ! C'est fantastique et génial.
4,tweet_19,Mon Sep 22 17:16:16  2025,NO_QUERY,user_19,J'adore sports ! C'est fantastique et génial.
0,tweet_20,Thu Aug 14 17:16:16  2025,NO_QUERY,user_20,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
0,tweet_21,Tue Apr 29 17:16:16  2025,NO_QUERY,user_21,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
4,tweet_22,Thu Jul 10 17:16:16  2025,NO_QUERY,user_22,J'adore technology ! C'est fantastique et génial.
0,tweet_23,Sat Aug 02 17:16:16  2025,NO_QUERY,user_23,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_24,Sun Aug 10 17:16:16  2025,NO_QUERY,user_24,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_25,Mon Jun 09 17:16:16  2025,NO_QUERY,user_25,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_26,Tue May 06 17:16:16  2025,NO_QUERY,user_26,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
0,tweet_27,Wed Feb 19 17:16:16  2025,NO_QUERY,user_27,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
4,tweet_28,Sun Aug 03 17:16:16  2025,NO_QUERY,user_28,J'adore entertainment ! C'est fantastique et génial.
4,tweet_29,Sat May 10 17:16:16  2025,NO_QUERY,user_29,J'adore news ! C'est fantastique et génial.
4,tweet_30,Wed Sep 17 17:16:16  2025,NO_QUERY,user_30,J'adore sports ! C'est fantastique et génial.
0,tweet_31,Tue Oct 22 17:16:16  2024,NO_QUERY,user_31,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
4,tweet_32,Wed Nov 06 17:16:16  2024,NO_QUERY,user_32,J'adore politics ! C'est fantastique et génial.
4,tweet_33,Fri May 30 17:16:16  2025,NO_QUERY,user_33,J'adore entertainment ! C'est fantastique et génial.
0,tweet_34,Sun Jul 06 17:16:16  2025,NO_QUERY,user_34,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
0,tweet_35,Fri Mar 21 17:16:16  2025,NO_QUERY,user_35,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_36,Mon Jun 02 17:16:16  2025,NO_QUERY,user_36,J'adore politics ! C'est fantastique et génial.
4,tweet_37,Fri Nov 29 17:16:16  2024,NO_QUERY,user_37,J'adore entertainment ! C'est fantastique et génial.
4,tweet_38,Sat Sep 28 17:16:16  2024,NO_QUERY,user_38,J'adore sports ! C'est fantastique et génial.
0,tweet_39,Sat Nov 30 17:16:16  2024,NO_QUERY,user_39,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
0,tweet_40,Sat Nov 16 17:16:16  2024,NO_QUERY,user_40,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_41,Thu Oct 24 17:16:16  2024,NO_QUERY,user_41,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_42,Thu May 29 17:16:16  2025,NO_QUERY,user_42,J'adore entertainment ! C'est fantastique et génial.
4,tweet_43,Wed Apr 30 17:16:16  2025,NO_QUERY,user_43,J'adore entertainment ! C'est fantastique et génial.
0,tweet_44,Tue Apr 15 17:16:16  2025,NO_QUERY,user_44,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
4,tweet_45,Thu Mar 20 17:16:16  2025,NO_QUERY,user_45,J'adore entertainment ! C'est fantastique et génial.
4,tweet_46,Sat Feb 08 17:16:16  2025,NO_QUERY,user_46,J'adore technology ! C'est fantastique et génial.
0,tweet_47,Sat Nov 30 17:16:16  2024,NO_QUERY,user_47,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
0,tweet_48,Sun Mar 02 17:16:16  2025,NO_QUERY,user_48,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
0,tweet_49,Tue Jun 17 17:16:16  2025,NO_QUERY,user_49,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_50,Wed Nov 20 17:16:16  2024,NO_QUERY,user_50,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
0,tweet_51,Sat Jun 28 17:16:16  2025,NO_QUERY,user_51,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
0,tweet_52,Sat Jun 14 17:16:16  2025,NO_QUERY,user_52,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
0,tweet_53,Sun Jun 08 17:16:16  2025,NO_QUERY,user_53,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
0,tweet_54,Fri Aug 08 17:16:16  2025,NO_QUERY,user_54,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
0,tweet_55,Mon Jan 06 17:16:16  2025,NO_QUERY,user_55,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_56,Thu Oct 10 17:16:16  2024,NO_QUERY,user_56,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_57,Mon Jul 28 17:16:16  2025,NO_QUERY,user_57,J'adore news ! C'est fantastique et génial.
