target,id,date,flag,user,text
4,tweet_0,Tue Oct 22 17:18:27  2024,NO_QUERY,user_0,J'adore technology ! C'est fantastique et génial.
0,tweet_1,Fri Jul 25 17:18:27  2025,NO_QUERY,user_1,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_2,Fri Jul 18 17:18:27  2025,NO_QUERY,user_2,Je n'aime pas technology aujourd'hui. C'est vraiment décevant.
4,tweet_3,Thu Jan 16 17:18:27  2025,NO_QUERY,user_3,J'adore technology ! C'est fantastique et génial.
0,tweet_4,Tue Dec 17 17:18:27  2024,NO_QUERY,user_4,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_5,Fri Aug 22 17:18:27  2025,NO_QUERY,user_5,J'adore entertainment ! C'est fantastique et génial.
4,tweet_6,Fri Apr 25 17:18:27  2025,NO_QUERY,user_6,J'adore sports ! C'est fantastique et génial.
4,tweet_7,Wed Oct 16 17:18:27  2024,NO_QUERY,user_7,J'adore news ! C'est fantastique et génial.
0,tweet_8,Tue Jan 21 17:18:27  2025,NO_QUERY,user_8,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
4,tweet_9,Tue May 06 17:18:27  2025,NO_QUERY,user_9,J'adore news ! C'est fantastique et génial.
4,tweet_10,Mon Jun 23 17:18:27  2025,NO_QUERY,user_10,J'adore entertainment ! C'est fantastique et génial.
0,tweet_11,Sat Jan 11 17:18:27  2025,NO_QUERY,user_11,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_12,Tue Mar 04 17:18:27  2025,NO_QUERY,user_12,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
4,tweet_13,Mon Jul 14 17:18:27  2025,NO_QUERY,user_13,J'adore sports ! C'est fantastique et génial.
4,tweet_14,Tue Sep 02 17:18:27  2025,NO_QUERY,user_14,J'adore news ! C'est fantastique et génial.
0,tweet_15,Tue Jun 24 17:18:27  2025,NO_QUERY,user_15,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
4,tweet_16,Mon Aug 18 17:18:27  2025,NO_QUERY,user_16,J'adore entertainment ! C'est fantastique et génial.
4,tweet_17,Sat Dec 21 17:18:27  2024,NO_QUERY,user_17,J'adore entertainment ! C'est fantastique et génial.
4,tweet_18,Mon Jun 16 17:18:27  2025,NO_QUERY,user_18,J'adore politics ! C'est fantastique et génial.
0,tweet_19,Wed Sep 24 17:18:27  2025,NO_QUERY,user_19,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
0,tweet_20,Mon Jun 16 17:18:27  2025,NO_QUERY,user_20,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
0,tweet_21,Mon May 05 17:18:27  2025,NO_QUERY,user_21,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_22,Tue Jun 17 17:18:27  2025,NO_QUERY,user_22,J'adore technology ! C'est fantastique et génial.
0,tweet_23,Thu May 15 17:18:27  2025,NO_QUERY,user_23,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
4,tweet_24,Sat May 31 17:18:27  2025,NO_QUERY,user_24,J'adore news ! C'est fantastique et génial.
4,tweet_25,Sat Feb 08 17:18:27  2025,NO_QUERY,user_25,J'adore sports ! C'est fantastique et génial.
4,tweet_26,Tue Jun 10 17:18:27  2025,NO_QUERY,user_26,J'adore sports ! C'est fantastique et génial.
4,tweet_27,Tue Oct 15 17:18:27  2024,NO_QUERY,user_27,J'adore entertainment ! C'est fantastique et génial.
0,tweet_28,Tue Jul 01 17:18:27  2025,NO_QUERY,user_28,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_29,Thu Feb 06 17:18:27  2025,NO_QUERY,user_29,J'adore sports ! C'est fantastique et génial.
4,tweet_30,Fri Mar 28 17:18:27  2025,NO_QUERY,user_30,J'adore news ! C'est fantastique et génial.
4,tweet_31,Tue Feb 11 17:18:27  2025,NO_QUERY,user_31,J'adore news ! C'est fantastique et génial.
0,tweet_32,Sun Mar 09 17:18:27  2025,NO_QUERY,user_32,Je n'aime pas entertainment aujourd'hui. C'est vraiment décevant.
0,tweet_33,Sun Aug 31 17:18:27  2025,NO_QUERY,user_33,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
0,tweet_34,Thu Jan 23 17:18:27  2025,NO_QUERY,user_34,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_35,Thu Jun 05 17:18:27  2025,NO_QUERY,user_35,J'adore technology ! C'est fantastique et génial.
0,tweet_36,Sun Jul 06 17:18:27  2025,NO_QUERY,user_36,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
0,tweet_37,Wed Apr 16 17:18:27  2025,NO_QUERY,user_37,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
0,tweet_38,Tue Feb 25 17:18:27  2025,NO_QUERY,user_38,Je n'aime pas politics aujourd'hui. C'est vraiment décevant.
0,tweet_39,Mon Apr 28 17:18:27  2025,NO_QUERY,user_39,Je n'aime pas news aujourd'hui. C'est vraiment décevant.
4,tweet_40,Wed Nov 13 17:18:27  2024,NO_QUERY,user_40,J'adore news ! C'est fantastique et génial.
4,tweet_41,Wed Mar 12 17:18:27  2025,NO_QUERY,user_41,J'adore politics ! C'est fantastique et génial.
0,tweet_42,Thu Dec 26 17:18:27  2024,NO_QUERY,user_42,Je n'aime pas sports aujourd'hui. C'est vraiment décevant.
4,tweet_43,Sat May 10 17:18:27  2025,NO_QUERY,user_43,J'adore news ! C'est fantastique et génial.
4,tweet_44,Mon Dec 30 17:18:27  2024,NO_QUERY,user_44,J'adore technology ! C'est fantastique et génial.
4,tweet_45,Wed Oct 02 17:18:27  2024,NO_QUERY,user_45,J'adore entertainment ! C'est fantastique et génial.
4,tweet_46,Sun May 11 17:18:27  2025,NO_QUERY,user_46,J'adore entertainment ! C'est fantastique et génial.
4,tweet_47,Sun Oct 20 17:18:27  2024,NO_QUERY,user_47,J'adore news ! C'est fantastique et génial.
4,tweet_48,Tue Aug 12 17:18:27  2025,NO_QUERY,user_48,J'adore news ! C'est fantastique et génial.
4,tweet_49,Thu Nov 14 17:18:27  2024,NO_QUERY,user_49,J'adore entertainment ! C'est fantastique et génial.
